alert_id,entity_id,alert_type,evidence_id,confidence,explanation
A00265,P0401,DENSE_NETWORK_CLUSTER,C00149,0.7,Entity is located in a densely connected synthetic graph cluster.
A00266,P0110,DENSE_NETWORK_CLUSTER,F00405,0.76,Entity is located in a densely connected synthetic graph cluster.
A00267,P0180,UNUSUAL_TRANSACTION,F00150,0.7,Transaction pattern deviates from the synthetic baseline.
A00268,P0097,DENSE_NETWORK_CLUSTER,C02156,0.69,Entity is located in a densely connected synthetic graph cluster.
A00269,P0055,DENSE_NETWORK_CLUSTER,C05040,0.82,Entity is located in a densely connected synthetic graph cluster.
A00270,P0315,DENSE_NETWORK_CLUSTER,F00013,0.66,Entity is located in a densely connected synthetic graph cluster.
A00271,P0211,UNUSUAL_TRANSACTION,T01877,0.85,Transaction pattern deviates from the synthetic baseline.
A00272,P0058,DENSE_NETWORK_CLUSTER,C04705,0.65,Entity is located in a densely connected synthetic graph cluster.
A00273,P0336,DENSE_NETWORK_CLUSTER,C04140,0.97,Entity is located in a densely connected synthetic graph cluster.
A00274,P0240,LOCATION_ASSOCIATION,C01192,0.85,A linked vehicle/person was observed at a monitored synthetic location.
A00275,P0414,DENSE_NETWORK_CLUSTER,T02042,0.79,Entity is located in a densely connected synthetic graph cluster.
A00276,P0157,HIGH_CALL_ACTIVITY,C05992,0.64,Repeated communication was detected between connected entities.
A00277,P0359,UNUSUAL_TRANSACTION,T01091,0.73,Transaction pattern deviates from the synthetic baseline.
A00278,P0258,DENSE_NETWORK_CLUSTER,F00162,0.76,Entity is located in a densely connected synthetic graph cluster.
A00279,P0035,DENSE_NETWORK_CLUSTER,T01815,0.7,Entity is located in a densely connected synthetic graph cluster.
A00280,P0252,DENSE_NETWORK_CLUSTER,C05588,0.91,Entity is located in a densely connected synthetic graph cluster.
A00281,P0453,UNUSUAL_TRANSACTION,T00274,0.65,Transaction pattern deviates from the synthetic baseline.
A00282,P0479,DENSE_NETWORK_CLUSTER,T01872,0.62,Entity is located in a densely connected synthetic graph cluster.
A00283,P0382,DENSE_NETWORK_CLUSTER,F00337,0.83,Entity is located in a densely connected synthetic graph cluster.
A00284,P0371,LOCATION_ASSOCIATION,C05752,0.63,A linked vehicle/person was observed at a monitored synthetic location.
A00285,P0402,LOCATION_ASSOCIATION,C00978,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00286,P0475,HIGH_CALL_ACTIVITY,F00028,0.83,Repeated communication was detected between connected entities.
A00287,P0452,DENSE_NETWORK_CLUSTER,C02454,0.71,Entity is located in a densely connected synthetic graph cluster.
A00288,P0171,HIGH_CALL_ACTIVITY,T00658,0.95,Repeated communication was detected between connected entities.
A00289,P0411,DENSE_NETWORK_CLUSTER,F00180,0.85,Entity is located in a densely connected synthetic graph cluster.
A00290,P0005,HIGH_CALL_ACTIVITY,F00121,0.95,Repeated communication was detected between connected entities.
A00291,P0158,DENSE_NETWORK_CLUSTER,C01652,0.86,Entity is located in a densely connected synthetic graph cluster.
A00292,P0416,LOCATION_ASSOCIATION,C05193,0.7,A linked vehicle/person was observed at a monitored synthetic location.
A00293,P0438,UNUSUAL_TRANSACTION,C01840,0.9,Transaction pattern deviates from the synthetic baseline.
A00294,P0250,LOCATION_ASSOCIATION,C05212,0.89,A linked vehicle/person was observed at a monitored synthetic location.
A00295,P0189,HIGH_CALL_ACTIVITY,F00378,0.85,Repeated communication was detected between connected entities.
A00296,P0271,HIGH_CALL_ACTIVITY,C01530,0.96,Repeated communication was detected between connected entities.
A00297,P0226,UNUSUAL_TRANSACTION,F00706,0.93,Transaction pattern deviates from the synthetic baseline.
A00298,P0327,DENSE_NETWORK_CLUSTER,C05023,0.74,Entity is located in a densely connected synthetic graph cluster.
A00299,P0071,LOCATION_ASSOCIATION,T00602,0.76,A linked vehicle/person was observed at a monitored synthetic location.
A00300,P0110,UNUSUAL_TRANSACTION,T02301,0.72,Transaction pattern deviates from the synthetic baseline.
A00301,P0142,LOCATION_ASSOCIATION,C03610,0.87,A linked vehicle/person was observed at a monitored synthetic location.
A00302,P0397,LOCATION_ASSOCIATION,C04598,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00303,P0245,LOCATION_ASSOCIATION,T01935,0.81,A linked vehicle/person was observed at a monitored synthetic location.
A00304,P0355,DENSE_NETWORK_CLUSTER,T01040,0.8,Entity is located in a densely connected synthetic graph cluster.
A00305,P0400,HIGH_CALL_ACTIVITY,T02414,0.88,Repeated communication was detected between connected entities.
A00306,P0344,LOCATION_ASSOCIATION,F00532,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00307,P0298,DENSE_NETWORK_CLUSTER,C01979,0.87,Entity is located in a densely connected synthetic graph cluster.
A00308,P0225,DENSE_NETWORK_CLUSTER,C02364,0.93,Entity is located in a densely connected synthetic graph cluster.
A00309,P0303,LOCATION_ASSOCIATION,F00121,0.61,A linked vehicle/person was observed at a monitored synthetic location.
A00310,P0388,HIGH_CALL_ACTIVITY,C03542,0.72,Repeated communication was detected between connected entities.
A00311,P0456,UNUSUAL_TRANSACTION,T02606,0.76,Transaction pattern deviates from the synthetic baseline.
A00312,P0366,DENSE_NETWORK_CLUSTER,C04239,0.77,Entity is located in a densely connected synthetic graph cluster.
A00313,P0251,UNUSUAL_TRANSACTION,F00411,0.94,Transaction pattern deviates from the synthetic baseline.
A00314,P0364,DENSE_NETWORK_CLUSTER,T01464,0.74,Entity is located in a densely connected synthetic graph cluster.
A00315,P0054,DENSE_NETWORK_CLUSTER,T01485,0.66,Entity is located in a densely connected synthetic graph cluster.
A00316,P0323,UNUSUAL_TRANSACTION,C02727,0.68,Transaction pattern deviates from the synthetic baseline.
A00317,P0439,UNUSUAL_TRANSACTION,C03866,0.82,Transaction pattern deviates from the synthetic baseline.
A00318,P0083,UNUSUAL_TRANSACTION,C00360,0.95,Transaction pattern deviates from the synthetic baseline.
A00319,P0408,LOCATION_ASSOCIATION,C05183,0.61,A linked vehicle/person was observed at a monitored synthetic location.
A00320,P0422,DENSE_NETWORK_CLUSTER,C02219,0.7,Entity is located in a densely connected synthetic graph cluster.
A00321,P0153,LOCATION_ASSOCIATION,C00002,0.96,A linked vehicle/person was observed at a monitored synthetic location.
A00322,P0014,UNUSUAL_TRANSACTION,C03736,0.77,Transaction pattern deviates from the synthetic baseline.
A00323,P0450,HIGH_CALL_ACTIVITY,C04969,0.77,Repeated communication was detected between connected entities.
A00324,P0155,HIGH_CALL_ACTIVITY,C04973,0.68,Repeated communication was detected between connected entities.
A00325,P0181,DENSE_NETWORK_CLUSTER,F00611,0.75,Entity is located in a densely connected synthetic graph cluster.
A00326,P0352,UNUSUAL_TRANSACTION,C05223,0.84,Transaction pattern deviates from the synthetic baseline.
A00327,P0032,HIGH_CALL_ACTIVITY,C03306,0.94,Repeated communication was detected between connected entities.
A00328,P0015,DENSE_NETWORK_CLUSTER,T01625,0.81,Entity is located in a densely connected synthetic graph cluster.
A00329,P0089,LOCATION_ASSOCIATION,T00435,0.67,A linked vehicle/person was observed at a monitored synthetic location.
A00330,P0462,LOCATION_ASSOCIATION,C05515,0.73,A linked vehicle/person was observed at a monitored synthetic location.
A00331,P0130,HIGH_CALL_ACTIVITY,C02376,0.74,Repeated communication was detected between connected entities.
A00332,P0484,UNUSUAL_TRANSACTION,T01330,0.9,Transaction pattern deviates from the synthetic baseline.
A00333,P0308,DENSE_NETWORK_CLUSTER,C00061,0.96,Entity is located in a densely connected synthetic graph cluster.
A00334,P0422,UNUSUAL_TRANSACTION,F00379,0.6,Transaction pattern deviates from the synthetic baseline.
A00335,P0022,LOCATION_ASSOCIATION,T01492,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00336,P0465,LOCATION_ASSOCIATION,F00514,0.88,A linked vehicle/person was observed at a monitored synthetic location.
A00337,P0023,LOCATION_ASSOCIATION,C01429,0.97,A linked vehicle/person was observed at a monitored synthetic location.
A00338,P0267,LOCATION_ASSOCIATION,T02472,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00339,P0260,HIGH_CALL_ACTIVITY,T00111,0.79,Repeated communication was detected between connected entities.
A00340,P0448,UNUSUAL_TRANSACTION,C03031,0.88,Transaction pattern deviates from the synthetic baseline.
A00341,P0030,HIGH_CALL_ACTIVITY,T01656,0.66,Repeated communication was detected between connected entities.
A00342,P0414,UNUSUAL_TRANSACTION,C01192,0.7,Transaction pattern deviates from the synthetic baseline.
A00343,P0221,LOCATION_ASSOCIATION,C00609,0.88,A linked vehicle/person was observed at a monitored synthetic location.
A00344,P0207,LOCATION_ASSOCIATION,T01255,0.96,A linked vehicle/person was observed at a monitored synthetic location.
A00345,P0446,UNUSUAL_TRANSACTION,C03762,0.66,Transaction pattern deviates from the synthetic baseline.
A00346,P0174,UNUSUAL_TRANSACTION,C05389,0.74,Transaction pattern deviates from the synthetic baseline.
A00347,P0289,DENSE_NETWORK_CLUSTER,C04341,0.83,Entity is located in a densely connected synthetic graph cluster.
A00348,P0267,DENSE_NETWORK_CLUSTER,T00737,0.78,Entity is located in a densely connected synthetic graph cluster.
A00349,P0060,UNUSUAL_TRANSACTION,C02847,0.67,Transaction pattern deviates from the synthetic baseline.
A00350,P0097,DENSE_NETWORK_CLUSTER,F00183,0.66,Entity is located in a densely connected synthetic graph cluster.
A00351,P0401,DENSE_NETWORK_CLUSTER,T02690,0.87,Entity is located in a densely connected synthetic graph cluster.
A00352,P0032,DENSE_NETWORK_CLUSTER,C00409,0.78,Entity is located in a densely connected synthetic graph cluster.
A00353,P0299,LOCATION_ASSOCIATION,T02050,0.66,A linked vehicle/person was observed at a monitored synthetic location.
A00354,P0028,LOCATION_ASSOCIATION,C02177,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00355,P0376,DENSE_NETWORK_CLUSTER,T01598,0.73,Entity is located in a densely connected synthetic graph cluster.
A00356,P0018,DENSE_NETWORK_CLUSTER,C03770,0.91,Entity is located in a densely connected synthetic graph cluster.
A00357,P0074,DENSE_NETWORK_CLUSTER,T01489,0.86,Entity is located in a densely connected synthetic graph cluster.
A00358,P0303,LOCATION_ASSOCIATION,C03083,0.65,A linked vehicle/person was observed at a monitored synthetic location.
A00359,P0085,LOCATION_ASSOCIATION,C00756,0.83,A linked vehicle/person was observed at a monitored synthetic location.
A00360,P0368,DENSE_NETWORK_CLUSTER,C00096,0.84,Entity is located in a densely connected synthetic graph cluster.
A00361,P0126,DENSE_NETWORK_CLUSTER,T00816,0.8,Entity is located in a densely connected synthetic graph cluster.
A00362,P0289,LOCATION_ASSOCIATION,T02088,0.61,A linked vehicle/person was observed at a monitored synthetic location.
A00363,P0060,UNUSUAL_TRANSACTION,T02461,0.74,Transaction pattern deviates from the synthetic baseline.
A00364,P0168,DENSE_NETWORK_CLUSTER,C04102,0.65,Entity is located in a densely connected synthetic graph cluster.
A00365,P0038,DENSE_NETWORK_CLUSTER,C04209,0.67,Entity is located in a densely connected synthetic graph cluster.
A00366,P0396,UNUSUAL_TRANSACTION,T01143,0.69,Transaction pattern deviates from the synthetic baseline.
A00367,P0157,DENSE_NETWORK_CLUSTER,C01294,0.88,Entity is located in a densely connected synthetic graph cluster.
A00368,P0347,DENSE_NETWORK_CLUSTER,C05234,0.85,Entity is located in a densely connected synthetic graph cluster.
A00369,P0267,DENSE_NETWORK_CLUSTER,C00396,0.76,Entity is located in a densely connected synthetic graph cluster.
A00370,P0401,DENSE_NETWORK_CLUSTER,C03880,0.97,Entity is located in a densely connected synthetic graph cluster.
A00371,P0413,UNUSUAL_TRANSACTION,C02728,0.7,Transaction pattern deviates from the synthetic baseline.
A00372,P0165,DENSE_NETWORK_CLUSTER,F00593,0.95,Entity is located in a densely connected synthetic graph cluster.
A00373,P0446,DENSE_NETWORK_CLUSTER,F00031,0.65,Entity is located in a densely connected synthetic graph cluster.
A00374,P0469,LOCATION_ASSOCIATION,T02336,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00375,P0404,LOCATION_ASSOCIATION,C01432,0.75,A linked vehicle/person was observed at a monitored synthetic location.
A00376,P0202,UNUSUAL_TRANSACTION,C04692,0.62,Transaction pattern deviates from the synthetic baseline.
A00377,P0498,HIGH_CALL_ACTIVITY,C05370,0.63,Repeated communication was detected between connected entities.
A00378,P0350,LOCATION_ASSOCIATION,T01386,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00379,P0001,DENSE_NETWORK_CLUSTER,C04794,0.75,Entity is located in a densely connected synthetic graph cluster.
A00380,P0187,HIGH_CALL_ACTIVITY,C04567,0.79,Repeated communication was detected between connected entities.
A00381,P0154,HIGH_CALL_ACTIVITY,C01400,0.63,Repeated communication was detected between connected entities.
A00382,P0159,LOCATION_ASSOCIATION,C00273,0.96,A linked vehicle/person was observed at a monitored synthetic location.
A00383,P0159,LOCATION_ASSOCIATION,C03824,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00384,P0361,LOCATION_ASSOCIATION,T00679,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00385,P0078,LOCATION_ASSOCIATION,C00211,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00386,P0265,LOCATION_ASSOCIATION,F00831,0.91,A linked vehicle/person was observed at a monitored synthetic location.
A00387,P0287,DENSE_NETWORK_CLUSTER,C04305,0.76,Entity is located in a densely connected synthetic graph cluster.
A00388,P0460,LOCATION_ASSOCIATION,T02535,0.93,A linked vehicle/person was observed at a monitored synthetic location.
A00389,P0007,LOCATION_ASSOCIATION,C02246,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00390,P0079,HIGH_CALL_ACTIVITY,C04937,0.79,Repeated communication was detected between connected entities.
A00391,P0151,HIGH_CALL_ACTIVITY,C02330,0.68,Repeated communication was detected between connected entities.
A00392,P0448,HIGH_CALL_ACTIVITY,T02309,0.84,Repeated communication was detected between connected entities.
A00393,P0161,LOCATION_ASSOCIATION,C05391,0.63,A linked vehicle/person was observed at a monitored synthetic location.
A00394,P0489,LOCATION_ASSOCIATION,C00525,0.74,A linked vehicle/person was observed at a monitored synthetic location.
A00395,P0372,LOCATION_ASSOCIATION,C00861,0.61,A linked vehicle/person was observed at a monitored synthetic location.
A00396,P0348,UNUSUAL_TRANSACTION,T00397,0.78,Transaction pattern deviates from the synthetic baseline.
A00397,P0146,DENSE_NETWORK_CLUSTER,C01568,0.81,Entity is located in a densely connected synthetic graph cluster.
A00398,P0037,HIGH_CALL_ACTIVITY,C00576,0.91,Repeated communication was detected between connected entities.
A00399,P0056,UNUSUAL_TRANSACTION,C01768,0.91,Transaction pattern deviates from the synthetic baseline.
A00400,P0352,HIGH_CALL_ACTIVITY,T02556,0.67,Repeated communication was detected between connected entities.
A00401,P0354,UNUSUAL_TRANSACTION,C05705,0.74,Transaction pattern deviates from the synthetic baseline.
A00402,P0201,LOCATION_ASSOCIATION,C01899,0.92,A linked vehicle/person was observed at a monitored synthetic location.
A00403,P0363,UNUSUAL_TRANSACTION,C03794,0.82,Transaction pattern deviates from the synthetic baseline.
A00404,P0336,DENSE_NETWORK_CLUSTER,C00158,0.87,Entity is located in a densely connected synthetic graph cluster.
A00405,P0488,DENSE_NETWORK_CLUSTER,C00622,0.95,Entity is located in a densely connected synthetic graph cluster.
A00406,P0314,HIGH_CALL_ACTIVITY,C02845,0.63,Repeated communication was detected between connected entities.
A00407,P0437,LOCATION_ASSOCIATION,T00763,0.62,A linked vehicle/person was observed at a monitored synthetic location.
A00408,P0083,UNUSUAL_TRANSACTION,F00776,0.85,Transaction pattern deviates from the synthetic baseline.
A00409,P0289,DENSE_NETWORK_CLUSTER,C05715,0.94,Entity is located in a densely connected synthetic graph cluster.
A00410,P0186,LOCATION_ASSOCIATION,T01937,0.85,A linked vehicle/person was observed at a monitored synthetic location.
A00411,P0226,HIGH_CALL_ACTIVITY,C05967,0.83,Repeated communication was detected between connected entities.
A00412,P0471,LOCATION_ASSOCIATION,C04460,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00413,P0341,LOCATION_ASSOCIATION,C01614,0.94,A linked vehicle/person was observed at a monitored synthetic location.
A00414,P0358,UNUSUAL_TRANSACTION,C02175,0.61,Transaction pattern deviates from the synthetic baseline.
A00415,P0209,LOCATION_ASSOCIATION,C05251,0.6,A linked vehicle/person was observed at a monitored synthetic location.
A00416,P0292,UNUSUAL_TRANSACTION,T01843,0.61,Transaction pattern deviates from the synthetic baseline.
A00417,P0316,LOCATION_ASSOCIATION,C03465,0.6,A linked vehicle/person was observed at a monitored synthetic location.
A00418,P0322,LOCATION_ASSOCIATION,T01294,0.63,A linked vehicle/person was observed at a monitored synthetic location.
A00419,P0110,LOCATION_ASSOCIATION,C04234,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00420,P0055,HIGH_CALL_ACTIVITY,T00364,0.9,Repeated communication was detected between connected entities.
A00421,P0415,HIGH_CALL_ACTIVITY,C05038,0.9,Repeated communication was detected between connected entities.
A00422,P0104,DENSE_NETWORK_CLUSTER,C00428,0.65,Entity is located in a densely connected synthetic graph cluster.
A00423,P0096,DENSE_NETWORK_CLUSTER,T02637,0.67,Entity is located in a densely connected synthetic graph cluster.
A00424,P0003,UNUSUAL_TRANSACTION,T02043,0.76,Transaction pattern deviates from the synthetic baseline.
A00425,P0085,LOCATION_ASSOCIATION,C00152,0.65,A linked vehicle/person was observed at a monitored synthetic location.
A00426,P0207,HIGH_CALL_ACTIVITY,C05296,0.88,Repeated communication was detected between connected entities.
A00427,P0282,DENSE_NETWORK_CLUSTER,F00681,0.94,Entity is located in a densely connected synthetic graph cluster.
A00428,P0192,LOCATION_ASSOCIATION,C02598,0.81,A linked vehicle/person was observed at a monitored synthetic location.
A00429,P0049,UNUSUAL_TRANSACTION,C00932,0.9,Transaction pattern deviates from the synthetic baseline.
A00430,P0070,UNUSUAL_TRANSACTION,T00944,0.82,Transaction pattern deviates from the synthetic baseline.
A00431,P0221,DENSE_NETWORK_CLUSTER,C00684,0.8,Entity is located in a densely connected synthetic graph cluster.
A00432,P0073,HIGH_CALL_ACTIVITY,T02896,0.77,Repeated communication was detected between connected entities.
A00433,P0487,HIGH_CALL_ACTIVITY,C05802,0.6,Repeated communication was detected between connected entities.
A00434,P0099,LOCATION_ASSOCIATION,C00539,0.89,A linked vehicle/person was observed at a monitored synthetic location.
A00435,P0025,UNUSUAL_TRANSACTION,T01684,0.62,Transaction pattern deviates from the synthetic baseline.
A00436,P0230,DENSE_NETWORK_CLUSTER,C04702,0.62,Entity is located in a densely connected synthetic graph cluster.
A00437,P0128,UNUSUAL_TRANSACTION,T00154,0.62,Transaction pattern deviates from the synthetic baseline.
A00438,P0014,HIGH_CALL_ACTIVITY,C02319,0.75,Repeated communication was detected between connected entities.
A00439,P0441,HIGH_CALL_ACTIVITY,C04154,0.7,Repeated communication was detected between connected entities.
A00440,P0115,DENSE_NETWORK_CLUSTER,C05051,0.91,Entity is located in a densely connected synthetic graph cluster.
A00441,P0479,LOCATION_ASSOCIATION,T00877,0.79,A linked vehicle/person was observed at a monitored synthetic location.
A00442,P0410,DENSE_NETWORK_CLUSTER,T02291,0.66,Entity is located in a densely connected synthetic graph cluster.
A00443,P0442,HIGH_CALL_ACTIVITY,C04166,0.78,Repeated communication was detected between connected entities.
A00444,P0228,HIGH_CALL_ACTIVITY,C04614,0.76,Repeated communication was detected between connected entities.
A00445,P0170,DENSE_NETWORK_CLUSTER,F00579,0.79,Entity is located in a densely connected synthetic graph cluster.
A00446,P0219,DENSE_NETWORK_CLUSTER,C02152,0.92,Entity is located in a densely connected synthetic graph cluster.
A00447,P0173,LOCATION_ASSOCIATION,C00512,0.74,A linked vehicle/person was observed at a monitored synthetic location.
A00448,P0072,HIGH_CALL_ACTIVITY,C03782,0.74,Repeated communication was detected between connected entities.
A00449,P0268,HIGH_CALL_ACTIVITY,C05526,0.95,Repeated communication was detected between connected entities.
A00450,P0098,HIGH_CALL_ACTIVITY,F00722,0.63,Repeated communication was detected between connected entities.
A00451,P0310,DENSE_NETWORK_CLUSTER,C02268,0.94,Entity is located in a densely connected synthetic graph cluster.
A00452,P0334,DENSE_NETWORK_CLUSTER,T01863,0.89,Entity is located in a densely connected synthetic graph cluster.
A00453,P0462,UNUSUAL_TRANSACTION,C02260,0.81,Transaction pattern deviates from the synthetic baseline.
A00454,P0131,HIGH_CALL_ACTIVITY,T02830,0.86,Repeated communication was detected between connected entities.
A00455,P0125,UNUSUAL_TRANSACTION,C03129,0.63,Transaction pattern deviates from the synthetic baseline.
A00456,P0346,DENSE_NETWORK_CLUSTER,F00296,0.83,Entity is located in a densely connected synthetic graph cluster.
A00457,P0407,UNUSUAL_TRANSACTION,C02255,0.69,Transaction pattern deviates from the synthetic baseline.
A00458,P0223,LOCATION_ASSOCIATION,C05696,0.92,A linked vehicle/person was observed at a monitored synthetic location.
A00459,P0102,LOCATION_ASSOCIATION,C01724,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00460,P0443,LOCATION_ASSOCIATION,F00562,0.74,A linked vehicle/person was observed at a monitored synthetic location.
A00461,P0152,DENSE_NETWORK_CLUSTER,T02880,0.71,Entity is located in a densely connected synthetic graph cluster.
A00462,P0221,DENSE_NETWORK_CLUSTER,C01716,0.87,Entity is located in a densely connected synthetic graph cluster.
A00463,P0146,DENSE_NETWORK_CLUSTER,C01699,0.71,Entity is located in a densely connected synthetic graph cluster.
A00464,P0117,LOCATION_ASSOCIATION,C01490,0.84,A linked vehicle/person was observed at a monitored synthetic location.
A00465,P0456,DENSE_NETWORK_CLUSTER,C01901,0.84,Entity is located in a densely connected synthetic graph cluster.
A00466,P0251,HIGH_CALL_ACTIVITY,C04365,0.89,Repeated communication was detected between connected entities.
A00467,P0162,HIGH_CALL_ACTIVITY,F00455,0.69,Repeated communication was detected between connected entities.
A00468,P0231,HIGH_CALL_ACTIVITY,C03170,0.91,Repeated communication was detected between connected entities.
A00469,P0116,HIGH_CALL_ACTIVITY,C03304,0.74,Repeated communication was detected between connected entities.
A00470,P0146,HIGH_CALL_ACTIVITY,C04747,0.84,Repeated communication was detected between connected entities.
A00471,P0220,LOCATION_ASSOCIATION,T02724,0.87,A linked vehicle/person was observed at a monitored synthetic location.
A00472,P0197,DENSE_NETWORK_CLUSTER,C01255,0.84,Entity is located in a densely connected synthetic graph cluster.
A00473,P0048,LOCATION_ASSOCIATION,C03074,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00474,P0367,DENSE_NETWORK_CLUSTER,C03689,0.86,Entity is located in a densely connected synthetic graph cluster.
A00475,P0495,HIGH_CALL_ACTIVITY,C03421,0.69,Repeated communication was detected between connected entities.
A00476,P0495,UNUSUAL_TRANSACTION,T00240,0.6,Transaction pattern deviates from the synthetic baseline.
A00477,P0439,DENSE_NETWORK_CLUSTER,C02738,0.82,Entity is located in a densely connected synthetic graph cluster.
A00478,P0323,DENSE_NETWORK_CLUSTER,C00552,0.82,Entity is located in a densely connected synthetic graph cluster.
A00479,P0436,UNUSUAL_TRANSACTION,C01252,0.88,Transaction pattern deviates from the synthetic baseline.
A00480,P0072,DENSE_NETWORK_CLUSTER,C05179,0.73,Entity is located in a densely connected synthetic graph cluster.
A00481,P0498,HIGH_CALL_ACTIVITY,T00627,0.69,Repeated communication was detected between connected entities.
A00482,P0134,UNUSUAL_TRANSACTION,C05445,0.78,Transaction pattern deviates from the synthetic baseline.
A00483,P0015,UNUSUAL_TRANSACTION,C04069,0.75,Transaction pattern deviates from the synthetic baseline.
A00484,P0088,LOCATION_ASSOCIATION,F00836,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00485,P0277,LOCATION_ASSOCIATION,C05408,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00486,P0191,DENSE_NETWORK_CLUSTER,T00739,0.86,Entity is located in a densely connected synthetic graph cluster.
A00487,P0309,UNUSUAL_TRANSACTION,C04778,0.82,Transaction pattern deviates from the synthetic baseline.
A00488,P0068,LOCATION_ASSOCIATION,C00943,0.7,A linked vehicle/person was observed at a monitored synthetic location.
A00489,P0041,DENSE_NETWORK_CLUSTER,C01738,0.78,Entity is located in a densely connected synthetic graph cluster.
A00490,P0111,HIGH_CALL_ACTIVITY,T02063,0.92,Repeated communication was detected between connected entities.
A00491,P0468,LOCATION_ASSOCIATION,T02055,0.64,A linked vehicle/person was observed at a monitored synthetic location.
A00492,P0279,LOCATION_ASSOCIATION,T00378,0.69,A linked vehicle/person was observed at a monitored synthetic location.
A00493,P0373,UNUSUAL_TRANSACTION,T00871,0.81,Transaction pattern deviates from the synthetic baseline.
A00494,P0026,DENSE_NETWORK_CLUSTER,T01125,0.84,Entity is located in a densely connected synthetic graph cluster.
A00495,P0100,UNUSUAL_TRANSACTION,C02963,0.64,Transaction pattern deviates from the synthetic baseline.
A00496,P0066,DENSE_NETWORK_CLUSTER,C04172,0.75,Entity is located in a densely connected synthetic graph cluster.
A00497,P0195,HIGH_CALL_ACTIVITY,C05287,0.64,Repeated communication was detected between connected entities.
A00498,P0195,UNUSUAL_TRANSACTION,C02191,0.87,Transaction pattern deviates from the synthetic baseline.
A00499,P0435,HIGH_CALL_ACTIVITY,C04634,0.9,Repeated communication was detected between connected entities.
A00500,P0219,UNUSUAL_TRANSACTION,C01279,0.81,Transaction pattern deviates from the synthetic baseline.
A00501,P0202,HIGH_CALL_ACTIVITY,C03371,0.82,Repeated communication was detected between connected entities.
A00502,P0099,UNUSUAL_TRANSACTION,F00524,0.61,Transaction pattern deviates from the synthetic baseline.
A00503,P0222,LOCATION_ASSOCIATION,T02528,0.84,A linked vehicle/person was observed at a monitored synthetic location.
A00504,P0078,HIGH_CALL_ACTIVITY,C00072,0.6,Repeated communication was detected between connected entities.
A00505,P0410,LOCATION_ASSOCIATION,T00325,0.68,A linked vehicle/person was observed at a monitored synthetic location.
A00506,P0468,UNUSUAL_TRANSACTION,F00068,0.75,Transaction pattern deviates from the synthetic baseline.
A00507,P0299,LOCATION_ASSOCIATION,C05203,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00508,P0340,DENSE_NETWORK_CLUSTER,C01430,0.93,Entity is located in a densely connected synthetic graph cluster.
A00509,P0348,UNUSUAL_TRANSACTION,C04361,0.87,Transaction pattern deviates from the synthetic baseline.
A00510,P0292,UNUSUAL_TRANSACTION,T02997,0.8,Transaction pattern deviates from the synthetic baseline.
A00511,P0320,HIGH_CALL_ACTIVITY,C01033,0.66,Repeated communication was detected between connected entities.
A00512,P0014,HIGH_CALL_ACTIVITY,C00206,0.81,Repeated communication was detected between connected entities.
A00513,P0090,DENSE_NETWORK_CLUSTER,C03568,0.87,Entity is located in a densely connected synthetic graph cluster.
A00514,P0220,HIGH_CALL_ACTIVITY,T00256,0.73,Repeated communication was detected between connected entities.
A00515,P0242,LOCATION_ASSOCIATION,T00600,0.82,A linked vehicle/person was observed at a monitored synthetic location.
A00516,P0181,LOCATION_ASSOCIATION,C02949,0.61,A linked vehicle/person was observed at a monitored synthetic location.
A00517,P0477,LOCATION_ASSOCIATION,F00078,0.91,A linked vehicle/person was observed at a monitored synthetic location.
A00518,P0079,HIGH_CALL_ACTIVITY,T01370,0.84,Repeated communication was detected between connected entities.
A00519,P0163,UNUSUAL_TRANSACTION,C04965,0.71,Transaction pattern deviates from the synthetic baseline.
A00520,P0495,LOCATION_ASSOCIATION,T00241,0.77,A linked vehicle/person was observed at a monitored synthetic location.
A00521,P0058,DENSE_NETWORK_CLUSTER,C02365,0.85,Entity is located in a densely connected synthetic graph cluster.
A00522,P0433,LOCATION_ASSOCIATION,T02928,0.71,A linked vehicle/person was observed at a monitored synthetic location.
A00523,P0490,UNUSUAL_TRANSACTION,T00643,0.97,Transaction pattern deviates from the synthetic baseline.
A00524,P0184,LOCATION_ASSOCIATION,F00691,0.62,A linked vehicle/person was observed at a monitored synthetic location.
